,번호,제목,작성자,등록일,조회
0,,[교육 신청] 제 1회 2020 정보보호 실습 전문 교육 (온라인),관리자,2020-08-18,161
1,,2020-2학기 소융대 수강신청 관련 공지 사항,관리자,2020-07-27,268
2,,"SW추천장학금 마일리지 지급 세부기준 안내(학술동아리, 공모전, 오픈소스 활동)",관리자,2020-03-02,428
3,,[업데이트] SW추천장학금 마일리지 지급 기준 안내,관리자,2019-09-17,1636
4,220.0,"「기술전문가 양성 교육(1차)」 ""공공·로컬 데이터 시각화 & 피지컬 과정"" 교육생 모집",관리자,2020-08-14,80
5,219.0,[캡스톤디자인 수강생 필독] 2020년 2학기 캡스톤디자인 안내,관리자,2020-08-11,250
6,218.0,강원도 내 청소년 SW 코딩 캠프 프로그램 안내,관리자,2020-08-07,128
7,217.0,[보안 세미나 신청] 차세대 사용자 인증기술 동향,관리자,2020-08-03,188
8,216.0,(추가기업) 2020. 2학기 장기현장실습 모집기업 공지,관리자,2020-07-28,136
9,215.0,[캡스톤디자인 수강생 필독] 2020년 2학기 캡스톤디자인 주제를 공모하세요.,관리자,2020-07-27,263
10,214.0,2020년 2학기 장기현장실습 모집기업 공지,관리자,2020-07-27,164
11,213.0,[신청모집] 강원 VR·AR 8월 정기교육 수강생 모집,관리자,2020-07-21,206
12,212.0,[신청마감] 국민대학교 자율주행 경진대회,관리자,2020-07-16,95
13,211.0,[온라인 특강] 블록체인과 보안연구 특강,관리자,2020-07-10,249
14,210.0,[신청마감] 공개SW 전문교육 특강 신청,관리자,2020-07-10,550
15,209.0,2020년 2학기 ICT인턴십 모집공고,관리자,2020-07-03,200
16,208.0,[SW멘토링] 2020-여름방학 소프트웨어융합대학 전공 멘토링 모집,관리자,2020-06-25,525
17,207.0,[참가자 반드시 확인] 몰입형 SW코딩캠프 세부일정 및 유의사항 안내,관리자,2020-06-24,1439
18,206.0,2020년 1학기 캡스톤디자인 경진대회 수상결과 발표,관리자,2020-06-19,184
