,제목,날짜,href
0,[교양과목홍보] '국제개발협력과 진로탐색' 안내,20200823,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313620&pageIndex=1
1,2020-2 한림합창단 모집,20200821,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313611&pageIndex=1
2,`20년도 예비군훈련 코로나-19 확산으로 미실시 (공지),20200821,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313610&pageIndex=1
3,2020학년도 2학기 교내장학금 추가신청 안내,20200821,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313609&pageIndex=1
4,[교외장학금] 2020-2 중소기업 취업연계 장학금(희망사다리) 학생신청 일정 안내,20200821,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313603&pageIndex=1
5,[신입생들을 위한 교양추천] 국제개발협력과 진로탐색 수강생 모집,20200821,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313602&pageIndex=1
6,[대학일자리센터]온라인 집중 취업역량강화 교육 '해커스잡 취업인강' 2차 수강생 모집(~8.26),20200820,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313601&pageIndex=1
7,"[국가장학금] 2020-2 국가장학금 2차 신청 안내 - 신입생, 복학생, 재학생중 미신청자 대상!! ",20200820,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313595&pageIndex=1
8,[강원국제개발협력센터] 2021년도 시민사회협력 프로그램 공모 안내,20200820,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313594&pageIndex=1
9,2020년 2학기 청소년 학습지도 멘토봉사자 모집,20200819,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313590&pageIndex=1
